NU_ANO;TP_INSCRICAO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;12;1;1;10028;12;5103403;51;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;140;2;1;10028;12;5300108;53;5
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;303;3;1;10028;12;2800308;28;2
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
